STATE,ST_CASE,PVE_FORMS,VEH_NO,PFIRE,PDEATHS,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PVEH_SEV,PTOWED
6,60100,1,3,0,0,17-Jan,07:05:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,472,2008,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
6,60100,1,4,0,0,17-Jan,07:05:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,482,2003,0,Not_Applicable,No,Functional_Damage,Towed_Not_Due_to_Disabling_Damage
6,60109,2,3,0,0,23-Jan,04:24:00,Not_Reported,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,28,2015,0,Not_Applicable,No,Minor_Damage,Towed_Not_Due_to_Disabling_Damage
6,60150,2,3,0,0,26-Jan,12:01:00,Sideswipe_–_Same_Direction,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,881,2001,2,"Single-Unit_Truck_(2_axles_and_GVWR_more_than_1Not_Applicable,Not_ApplicableNot_ApplicableNot_Applicable_lbs.)",No,Minor_Damage,Not_Towed
6,60192,1,1,0,0,28-Jan,03:00:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,881,1998,3,Truck_Tractor/Double,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
6,60258,2,3,0,0,03-Feb,22:18:00,Front-to-Front,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,482,2003,0,Not_Applicable,No,Minor_Damage,Towed_Not_Due_to_Disabling_Damage
6,60276,1,2,0,0,18-Feb,12:23:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,401,2000,0,Not_Applicable,No,Functional_Damage,Not_Towed
6,60298,1,2,0,0,15-Feb,21:45:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,32,2015,0,Not_Applicable,No,Minor_Damage,Towed_Not_Due_to_Disabling_Damage
6,60299,2,3,0,0,18-Feb,06:21:00,Angle,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,43,2001,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60314,1,2,0,0,20-Feb,21:31:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,883,2015,3,Tractor/Semi-Trailer,No,No_Damage,Not_Towed
6,60370,1,2,0,0,06-Mar,21:08:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,34,2001,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60371,2,3,0,0,28-Feb,19:10:00,Angle,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,471,1985,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60409,1,2,0,0,06-Mar,16:54:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,51,2014,0,Not_Applicable,No,No_Damage,Towed_Not_Due_to_Disabling_Damage
6,60438,1,2,0,0,10-Mar,05:39:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,32,2010,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60447,2,3,0,0,04-Mar,12:14:00,Angle,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,47,2005,0,Not_Applicable,No,Minor_Damage,Towed_Not_Due_to_Disabling_Damage
6,60451,1,2,1,0,03-Mar,14:12:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Working_Motor_Vehicle,No,881,2011,3,Single-Unit_Truck_(3_or_More_axles),No,Disabling_Damage,Towed_Due_to_Disabling_Damage
6,60487,2,2,0,0,18-Mar,13:05:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,471,1986,0,Not_Applicable,No,Functional_Damage,Not_Towed
6,60487,2,3,0,0,18-Mar,13:05:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,47,2011,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
6,60603,2,3,0,0,31-Mar,16:50:00,Angle,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,442,2003,0,Not_Applicable,No,Functional_Damage,Towed_Not_Due_to_Disabling_Damage
6,60603,2,4,0,0,31-Mar,16:50:00,Angle,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,37,2004,0,Not_Applicable,No,Functional_Damage,Not_Towed
6,60613,1,2,0,0,28-Mar,20:13:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,401,2005,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
6,60613,1,3,0,0,28-Mar,20:13:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,401,2009,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
6,60617,1,2,0,0,29-Mar,22:57:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,471,1998,0,Not_Applicable,No,Minor_Damage,Towed_Not_Due_to_Disabling_Damage
6,60617,1,3,0,0,29-Mar,22:57:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,1999,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60624,2,3,0,0,24-Mar,13:42:00,Angle,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,402,1999,0,Not_Applicable,No,Functional_Damage,Not_Towed
6,60624,2,4,0,0,24-Mar,13:42:00,Angle,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,443,2002,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60625,1,2,0,0,05-Apr,18:41:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,31,1991,0,Not_Applicable,No,Functional_Damage,Towed_Not_Due_to_Disabling_Damage
6,60632,2,3,0,0,07-Apr,13:38:00,Angle,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,31,2006,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60667,1,2,0,0,09-Apr,14:30:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,422,2005,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60670,1,2,0,0,05-Apr,03:20:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,1999,0,Not_Applicable,No,Minor_Damage,Towed_Not_Due_to_Disabling_Damage
6,60780,1,2,0,0,10-May,23:17:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,27,2009,0,Not_Applicable,No,Functional_Damage,Not_Reported
6,60786,2,3,0,0,12-Apr,22:50:00,Angle,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,35,2005,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60786,2,4,0,0,12-Apr,22:50:00,Angle,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,40,1991,0,Not_Applicable,No,Minor_Damage,Not_Towed
6,60797,1,2,0,0,10-Apr,13:09:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,31,2006,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
