STATE,ST_CASE,PVE_FORMS,VEH_NO,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PHAZ_ID,PVEH_SEV,PTOWED,PFIRE,PDEATHS
6,61900,2,4,11-Apr,21:28,6,0,2,0,32,1996,0,0,1,0,2,5,0,0
6,61970,1,2,29-Nov,17:53,0,0,2,0,32,2004,0,0,1,0,2,5,0,0
6,62013,1,2,15-Nov,18:23,0,0,2,0,441,2006,0,0,1,0,2,5,0,0
6,62166,1,2,07-Sep,16:45,0,0,2,0,881,2011,3,6,1,0,2,5,0,0
6,62166,1,3,07-Sep,16:45,0,0,2,0,881,2002,2,1,1,0,2,5,0,0
6,62177,1,2,28-Feb,02:46,0,1,3,0,881,2008,2,1,1,0,6,2,0,0
6,62211,1,2,03-Apr,13:55,0,0,2,0,42,1996,0,0,1,0,2,5,0,0
6,62248,1,2,11-Jun,13:51,0,0,2,0,46,1999,0,0,1,0,4,5,0,0
6,62340,1,2,21-Oct,06:09,0,0,2,0,481,1995,0,0,1,0,6,2,0,0
6,62347,3,3,24-Dec,21:40,1,2,2,0,401,1999,0,0,1,0,4,3,0,0
6,62349,1,1,04-Nov,08:25,0,1,2,0,881,2010,3,6,1,0,4,8,0,0
6,62355,1,2,26-Sep,23:30,0,0,2,0,884,2008,3,19,1,0,2,5,0,0
6,62359,1,2,14-Mar,05:20,0,0,2,0,40,1996,0,0,1,0,2,5,0,0
6,62362,1,2,17-Apr,01:24,0,0,3,0,399,1979,0,0,1,0,4,5,0,0
6,62383,1,2,09-Sep,02:28,0,0,2,0,881,2009,3,6,1,0,2,5,0,0
6,62387,2,3,26-Dec,12:27,8,0,3,0,881,2015,3,6,1,0,4,5,0,0
6,62406,1,2,20-Feb,15:36,0,0,2,0,401,1999,0,0,1,0,4,5,0,0
6,62406,1,3,20-Feb,15:36,0,0,2,0,481,1997,0,0,1,0,6,2,0,0
6,62406,1,4,20-Feb,15:36,0,0,2,0,401,1998,0,0,1,0,4,5,0,0
6,62453,1,2,22-Jun,01:25,0,1,2,0,881,2009,3,7,1,0,2,3,0,0
6,62458,1,2,05-Jul,02:45,0,0,2,0,3,2001,0,0,1,0,6,5,0,0
6,62582,2,3,15-Oct,14:00,1,0,4,0,884,2013,2,2,1,0,2,3,0,0
